,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
305,2022,SE,0,0,99000,USD,99000,US,0,US,1
306,2022,SE,0,0,116000,USD,116000,US,0,US,1
307,2022,MI,0,0,106260,USD,106260,US,0,US,1
308,2022,MI,0,0,126500,USD,126500,US,0,US,1
309,2022,EX,0,5,242000,USD,242000,US,100,US,1
310,2022,EX,0,5,200000,USD,200000,US,100,US,1
311,2022,MI,0,7,50000,GBP,65438,GB,0,GB,1
312,2022,MI,0,7,30000,GBP,39263,GB,0,GB,1
313,2022,MI,0,5,60000,GBP,78526,GB,0,GB,1
314,2022,MI,0,5,40000,GBP,52351,GB,0,GB,1
315,2022,SE,0,7,165220,USD,165220,US,100,US,1
316,2022,EN,0,5,35000,GBP,45807,GB,100,GB,1
317,2022,SE,0,7,120160,USD,120160,US,100,US,1
318,2022,SE,0,0,90320,USD,90320,US,100,US,1
319,2022,SE,0,5,181940,USD,181940,US,0,US,1
320,2022,SE,0,5,132320,USD,132320,US,0,US,1
321,2022,SE,0,5,220110,USD,220110,US,0,US,1
322,2022,SE,0,5,160080,USD,160080,US,0,US,1
323,2022,SE,0,7,180000,USD,180000,US,0,US,2
324,2022,SE,0,7,120000,USD,120000,US,0,US,2
325,2022,SE,0,0,124190,USD,124190,US,100,US,1
326,2022,EX,0,0,130000,USD,130000,US,100,US,1
327,2022,EX,0,0,110000,USD,110000,US,100,US,1
328,2022,SE,0,0,170000,USD,170000,US,100,US,1
329,2022,MI,0,0,115500,USD,115500,US,100,US,1
330,2022,SE,0,0,112900,USD,112900,US,100,US,1
331,2022,SE,0,0,90320,USD,90320,US,100,US,1
332,2022,SE,0,0,112900,USD,112900,US,100,US,1
333,2022,SE,0,0,90320,USD,90320,US,100,US,1
334,2022,SE,0,5,165400,USD,165400,US,100,US,1
335,2022,SE,0,5,132320,USD,132320,US,100,US,1
336,2022,MI,0,0,167000,USD,167000,US,100,US,1
337,2022,SE,0,5,243900,USD,243900,US,100,US,1
338,2022,SE,0,0,136600,USD,136600,US,100,US,1
339,2022,SE,0,0,109280,USD,109280,US,100,US,1
340,2022,SE,0,5,128875,USD,128875,US,100,US,1
341,2022,SE,0,5,93700,USD,93700,US,100,US,1
342,2022,EX,0,7,224000,USD,224000,US,100,US,1
343,2022,EX,0,7,167875,USD,167875,US,100,US,1
344,2022,EX,0,5,175000,USD,175000,US,100,US,1
345,2022,SE,0,5,156600,USD,156600,US,100,US,1
346,2022,SE,0,5,108800,USD,108800,US,0,US,1
347,2022,SE,0,7,95550,USD,95550,US,0,US,1
348,2022,SE,0,5,113000,USD,113000,US,0,US,2
349,2022,SE,0,0,135000,USD,135000,US,100,US,1
350,2022,SE,0,6,161342,USD,161342,US,100,US,1
351,2022,SE,0,6,137141,USD,137141,US,100,US,1
352,2022,SE,0,7,167000,USD,167000,US,100,US,1
353,2022,SE,0,7,123000,USD,123000,US,100,US,1
354,2022,SE,0,5,60000,GBP,78526,GB,0,GB,1
355,2022,SE,0,5,50000,GBP,65438,GB,0,GB,1
356,2022,SE,0,7,150000,USD,150000,US,0,US,1
357,2022,SE,0,7,211500,USD,211500,US,100,US,1
358,2022,SE,0,1,192400,USD,192400,CA,100,CA,1
359,2022,SE,0,1,90700,USD,90700,CA,100,CA,1
360,2022,SE,0,0,130000,USD,130000,CA,100,CA,1
361,2022,SE,0,0,61300,USD,61300,CA,100,CA,1
362,2022,SE,0,0,130000,USD,130000,CA,100,CA,1
363,2022,SE,0,0,61300,USD,61300,CA,100,CA,1
364,2022,SE,0,5,160000,USD,160000,US,0,US,2
365,2022,SE,0,7,138600,USD,138600,US,100,US,1
366,2022,SE,0,5,136000,USD,136000,US,0,US,1
367,2022,MI,0,0,58000,USD,58000,US,0,US,0
368,2022,EX,0,5,135000,USD,135000,US,100,US,1
369,2022,SE,0,7,170000,USD,170000,US,100,US,1
370,2022,SE,0,7,123000,USD,123000,US,100,US,1
371,2022,SE,0,5,189650,USD,189650,US,0,US,1
372,2022,SE,0,5,164996,USD,164996,US,0,US,1
373,2022,MI,0,4,50000,EUR,54957,GR,0,GR,1
374,2022,MI,0,4,50000,EUR,54957,GR,0,GR,1
375,2022,EX,0,5,150000,CAD,118187,CA,100,CA,0
376,2022,SE,0,0,132000,USD,132000,US,0,US,1
377,2022,SE,0,5,165400,USD,165400,US,100,US,1
378,2022,SE,0,1,208775,USD,208775,US,100,US,1
379,2022,SE,0,1,147800,USD,147800,US,100,US,1
380,2022,SE,0,5,136994,USD,136994,US,100,US,1
381,2022,SE,0,5,101570,USD,101570,US,100,US,1
382,2022,SE,0,0,128875,USD,128875,US,100,US,1
383,2022,SE,0,0,93700,USD,93700,US,100,US,1
384,2022,EX,0,7,6000000,INR,79039,IN,50,IN,2
385,2022,SE,0,5,132320,USD,132320,US,100,US,1
386,2022,EN,0,5,28500,GBP,37300,GB,100,GB,2
387,2022,SE,0,0,164000,USD,164000,US,0,US,1
388,2022,SE,0,5,155000,USD,155000,US,100,US,1
389,2022,MI,0,5,95000,GBP,124333,GB,0,GB,1
390,2022,MI,0,5,75000,GBP,98158,GB,0,GB,1
391,2022,MI,0,7,120000,USD,120000,US,0,US,1
392,2022,SE,0,0,112900,USD,112900,US,100,US,1
393,2022,SE,0,0,90320,USD,90320,US,100,US,1
394,2022,SE,0,6,145000,USD,145000,US,100,US,1
395,2022,SE,0,6,105400,USD,105400,US,100,US,1
396,2022,MI,0,5,80000,EUR,87932,FR,100,DE,1
397,2022,MI,0,5,90000,GBP,117789,GB,0,GB,1
398,2022,SE,0,7,215300,USD,215300,US,100,US,2
399,2022,SE,0,7,158200,USD,158200,US,100,US,2
400,2022,SE,0,5,209100,USD,209100,US,100,US,2
401,2022,SE,0,5,154600,USD,154600,US,100,US,2
402,2022,SE,0,0,115934,USD,115934,US,0,US,1
403,2022,SE,0,0,81666,USD,81666,US,0,US,1
404,2022,SE,0,5,175000,USD,175000,US,100,US,1
405,2022,MI,0,5,75000,GBP,98158,GB,0,GB,1
406,2022,MI,0,0,58000,USD,58000,US,0,US,0
407,2022,SE,0,5,183600,USD,183600,US,100,US,2
408,2022,MI,0,0,40000,GBP,52351,GB,100,GB,1
409,2022,SE,0,7,180000,USD,180000,US,100,US,1
410,2022,MI,0,7,55000,GBP,71982,GB,0,GB,1
411,2022,MI,0,7,35000,GBP,45807,GB,0,GB,1
412,2022,MI,0,5,60000,EUR,65949,GR,100,GR,1
413,2022,MI,0,5,45000,EUR,49461,GR,100,GR,1
414,2022,MI,0,5,60000,GBP,78526,GB,100,GB,1
415,2022,MI,0,5,45000,GBP,58894,GB,100,GB,1
416,2022,SE,0,7,260000,USD,260000,US,100,US,1
417,2022,SE,0,5,60000,USD,60000,AR,100,MX,2
418,2022,MI,0,5,63900,USD,63900,US,0,US,1
419,2022,MI,0,7,160000,USD,160000,US,100,US,2
420,2022,MI,0,7,112300,USD,112300,US,100,US,2
421,2022,MI,0,6,241000,USD,241000,US,100,US,1
422,2022,MI,0,6,159000,USD,159000,US,100,US,1
423,2022,SE,0,7,180000,USD,180000,US,0,US,1
424,2022,SE,0,7,80000,USD,80000,US,0,US,1
425,2022,MI,0,5,82900,USD,82900,US,0,US,1
426,2022,SE,0,5,100800,USD,100800,US,100,US,2
427,2022,MI,0,5,45000,EUR,49461,ES,100,ES,1
428,2022,SE,0,7,140400,USD,140400,US,0,US,2
429,2022,MI,0,0,30000,GBP,39263,GB,100,GB,1
430,2022,MI,0,0,40000,EUR,43966,ES,100,ES,1
431,2022,MI,0,0,30000,EUR,32974,ES,100,ES,1
432,2022,MI,0,5,80000,EUR,87932,ES,100,ES,1
433,2022,MI,0,5,70000,EUR,76940,ES,100,ES,1
434,2022,MI,0,5,80000,GBP,104702,GB,100,GB,1
435,2022,MI,0,5,70000,GBP,91614,GB,100,GB,1
436,2022,MI,0,5,60000,EUR,65949,ES,100,ES,1
437,2022,MI,0,5,80000,EUR,87932,GR,100,GR,1
438,2022,SE,0,5,189650,USD,189650,US,0,US,1
439,2022,SE,0,5,164996,USD,164996,US,0,US,1
440,2022,MI,0,0,40000,EUR,43966,GR,100,GR,1
441,2022,MI,0,0,30000,EUR,32974,GR,100,GR,1
442,2022,MI,0,5,75000,GBP,98158,GB,100,GB,1
443,2022,MI,0,5,60000,GBP,78526,GB,100,GB,1
444,2022,SE,0,7,215300,USD,215300,US,0,US,2
445,2022,MI,0,5,70000,EUR,76940,GR,100,GR,1
446,2022,SE,0,5,209100,USD,209100,US,100,US,2
447,2022,SE,0,5,154600,USD,154600,US,100,US,2
448,2022,SE,0,5,180000,USD,180000,US,100,US,1
449,2022,EN,0,5,20000,EUR,21983,2,100,2,2
450,2022,SE,0,5,80000,USD,80000,US,100,US,1
451,2022,MI,0,4,100000,CAD,78791,CA,100,CA,1
452,2022,EX,0,7,250000,CAD,196979,CA,50,CA,2
453,2022,MI,0,5,120000,USD,120000,US,100,US,0
454,2022,EN,0,5,125000,USD,125000,US,0,US,1
455,2022,MI,0,5,240000,CNY,37236,US,50,US,2
456,2022,SE,0,5,105000,USD,105000,US,100,US,1
457,2022,SE,0,5,80000,EUR,87932,DE,0,DE,1
458,2022,MI,0,0,1400000,INR,18442,IN,100,IN,1
459,2022,MI,0,7,2400000,INR,31615,IN,100,IN,2
460,2022,MI,0,5,53000,EUR,58255,2,50,2,2
461,2022,EN,0,0,100000,USD,100000,US,50,US,2
462,2022,MI,2,5,50000,EUR,54957,DE,50,DE,2
463,2022,EN,0,7,1400000,INR,18442,IN,100,IN,1
464,2022,SE,0,7,148000,EUR,162674,DE,100,DE,1
465,2022,EN,0,5,120000,USD,120000,US,100,US,1
466,2022,SE,0,7,144000,USD,144000,US,50,US,2
467,2022,SE,0,7,104890,USD,104890,US,100,US,1
468,2022,SE,0,5,100000,USD,100000,US,100,US,1
469,2022,SE,0,7,140000,USD,140000,US,100,US,1
470,2022,MI,0,0,135000,USD,135000,US,100,US,1
471,2022,MI,0,0,50000,USD,50000,US,100,US,1
472,2022,SE,0,7,220000,USD,220000,US,100,US,1
473,2022,SE,0,7,140000,USD,140000,US,100,US,1
474,2022,MI,0,7,140000,GBP,183228,GB,0,GB,1
475,2022,MI,0,7,70000,GBP,91614,GB,0,GB,1
476,2022,SE,0,7,185100,USD,185100,US,100,US,1
477,2022,SE,0,5,220000,USD,220000,US,100,US,1
478,2022,MI,0,7,200000,USD,200000,US,100,US,1
479,2022,MI,0,7,120000,USD,120000,US,100,US,1
480,2022,SE,0,5,120000,USD,120000,AE,100,AE,0
481,2022,SE,0,5,65000,USD,65000,AE,100,AE,0
482,2022,EX,0,5,324000,USD,324000,US,100,US,1
483,2022,EX,0,5,216000,USD,216000,US,100,US,1
484,2022,SE,0,5,210000,USD,210000,US,100,US,1
485,2022,SE,0,5,120000,USD,120000,US,100,US,1
486,2022,SE,0,7,230000,USD,230000,US,100,US,1
487,2022,EN,2,7,100000,USD,100000,DZ,50,DZ,1
488,2022,MI,3,7,100000,USD,100000,CA,100,US,1
489,2022,EN,1,7,29000,EUR,31875,TN,100,CZ,1
490,2022,SE,0,3,200000,USD,200000,MY,100,US,1
491,2022,MI,0,0,75000,USD,75000,CA,100,CA,0
492,2022,MI,0,7,150000,PLN,35590,PL,100,PL,2
493,2022,SE,0,4,100000,CAD,78791,CA,100,CA,1
494,2022,SE,0,7,100000,USD,100000,BR,100,US,1
495,2022,MI,0,7,153000,USD,153000,US,50,US,1
496,2022,EN,0,5,52800,EUR,58035,PK,100,DE,1
497,2022,SE,0,7,165000,USD,165000,US,100,US,1
498,2022,SE,0,7,85000,EUR,93427,FR,50,FR,2
499,2022,EN,0,7,66500,CAD,52396,CA,100,CA,2
500,2022,SE,0,5,57000,EUR,62651,NL,100,NL,2
501,2022,MI,0,3,30000,EUR,32974,EE,100,EE,0
502,2022,EN,0,7,40000,USD,40000,JP,100,MY,2
503,2022,MI,0,5,121000,AUD,87425,AU,100,AU,2
504,2022,SE,0,5,115000,USD,115000,US,100,US,1
505,2022,EN,0,7,120000,AUD,86703,AU,50,AU,1
506,2022,MI,0,7,75000,USD,75000,BO,100,US,2
507,2022,MI,0,7,59000,EUR,64849,AT,0,AT,2
508,2022,EN,0,7,120000,USD,120000,US,100,US,2
509,2022,MI,0,7,157000,USD,157000,US,100,US,2
510,2022,EN,0,5,150000,USD,150000,AU,100,AU,0
511,2022,MI,0,0,90000,CAD,70912,CA,50,CA,2
512,2022,EN,0,5,65000,USD,65000,US,100,US,0
513,2022,SE,0,5,65000,EUR,71444,IE,100,IE,0
514,2022,EN,0,5,20000,USD,20000,PK,0,PK,1
515,2022,MI,0,7,48000,USD,48000,RU,100,US,0
516,2022,SE,0,6,152500,USD,152500,US,100,US,1
517,2022,MI,0,5,62000,EUR,68147,FR,100,FR,1
518,2022,MI,0,7,115000,CHF,122346,CH,0,CH,2
519,2022,SE,0,7,380000,USD,380000,US,100,US,2
520,2022,MI,0,7,88000,CAD,69336,CA,100,CA,1
521,2022,EN,0,5,10000,USD,10000,2,100,LU,1
522,2022,MI,0,0,20000,USD,20000,GR,100,GR,0
523,2022,SE,0,0,405000,USD,405000,US,100,US,2
524,2022,MI,0,7,135000,USD,135000,US,100,US,2
525,2022,SE,0,7,177000,USD,177000,US,100,US,2
526,2022,MI,0,7,78000,USD,78000,US,100,US,1
527,2022,SE,0,0,135000,USD,135000,US,100,US,1
528,2022,SE,0,0,100000,USD,100000,US,100,US,1
529,2022,SE,0,0,90320,USD,90320,US,100,US,1
530,2022,MI,0,0,85000,USD,85000,CA,0,CA,1
531,2022,MI,0,0,75000,USD,75000,CA,0,CA,1
532,2022,SE,0,5,214000,USD,214000,US,100,US,1
533,2022,SE,0,5,192600,USD,192600,US,100,US,1
534,2022,SE,0,1,266400,USD,266400,US,100,US,1
535,2022,SE,0,1,213120,USD,213120,US,100,US,1
536,2022,SE,0,0,112900,USD,112900,US,100,US,1
537,2022,SE,0,5,155000,USD,155000,US,100,US,1
538,2022,MI,0,7,141300,USD,141300,US,0,US,1
539,2022,MI,0,7,102100,USD,102100,US,0,US,1
540,2022,SE,0,0,115934,USD,115934,US,100,US,1
541,2022,SE,0,0,81666,USD,81666,US,100,US,1
542,2022,MI,0,5,206699,USD,206699,US,0,US,1
543,2022,MI,0,5,99100,USD,99100,US,0,US,1
544,2022,SE,0,5,130000,USD,130000,US,100,US,1
545,2022,SE,0,5,115000,USD,115000,US,100,US,1
546,2022,SE,0,5,110500,USD,110500,US,100,US,1
547,2022,SE,0,5,130000,USD,130000,US,100,US,1
548,2022,SE,0,0,99050,USD,99050,US,100,US,1
549,2022,SE,0,5,160000,USD,160000,US,100,US,1
550,2022,SE,0,7,205300,USD,205300,US,0,US,2
551,2022,SE,0,7,140400,USD,140400,US,0,US,2
552,2022,SE,0,7,176000,USD,176000,US,100,US,1
553,2022,SE,0,7,144000,USD,144000,US,100,US,1
554,2022,SE,0,5,200100,USD,200100,US,100,US,1
555,2022,SE,0,5,160000,USD,160000,US,100,US,1
556,2022,SE,0,5,145000,USD,145000,US,100,US,1
557,2022,SE,0,5,70500,USD,70500,US,0,US,1
558,2022,SE,0,7,205300,USD,205300,US,0,US,1
559,2022,SE,0,7,140400,USD,140400,US,0,US,1
560,2022,SE,0,5,205300,USD,205300,US,0,US,1
561,2022,SE,0,5,184700,USD,184700,US,0,US,1
562,2022,SE,0,5,175100,USD,175100,US,100,US,1
563,2022,SE,0,5,140250,USD,140250,US,100,US,1
564,2022,SE,0,0,116150,USD,116150,US,100,US,1
565,2022,SE,0,5,54000,USD,54000,US,0,US,1
566,2022,SE,0,0,170000,USD,170000,US,100,US,1
567,2022,MI,0,0,50000,GBP,65438,GB,0,GB,1
568,2022,SE,0,0,80000,USD,80000,US,100,US,1
569,2022,SE,0,7,140000,USD,140000,US,100,US,1
570,2022,SE,0,7,210000,USD,210000,US,100,US,1
571,2022,SE,0,7,140000,USD,140000,US,100,US,1
572,2022,SE,0,0,100000,USD,100000,US,100,US,1
573,2022,SE,0,0,69000,USD,69000,US,100,US,1
574,2022,SE,0,7,210000,USD,210000,US,100,US,1
575,2022,SE,0,7,140000,USD,140000,US,100,US,1
576,2022,SE,0,7,210000,USD,210000,US,100,US,1
577,2022,SE,0,0,150075,USD,150075,US,100,US,1
578,2022,SE,0,5,100000,USD,100000,US,100,US,1
579,2022,SE,0,5,25000,USD,25000,US,100,US,1
580,2022,SE,0,0,126500,USD,126500,US,100,US,1
581,2022,SE,0,0,106260,USD,106260,US,100,US,1
582,2022,SE,0,5,220110,USD,220110,US,100,US,1
583,2022,SE,0,5,160080,USD,160080,US,100,US,1
584,2022,SE,0,0,105000,USD,105000,US,100,US,1
585,2022,SE,0,0,110925,USD,110925,US,100,US,1
586,2022,MI,0,0,35000,GBP,45807,GB,0,GB,1
587,2022,SE,0,7,140000,USD,140000,US,100,US,1
588,2022,SE,0,0,99000,USD,99000,US,0,US,1
589,2022,SE,0,0,60000,USD,60000,US,100,US,1
590,2022,SE,0,1,192564,USD,192564,US,100,US,1
591,2022,SE,0,1,144854,USD,144854,US,100,US,1
592,2022,SE,0,7,230000,USD,230000,US,100,US,1
593,2022,SE,0,7,150000,USD,150000,US,100,US,1
594,2022,SE,0,6,150260,USD,150260,US,100,US,1
595,2022,SE,0,6,109280,USD,109280,US,100,US,1
596,2022,SE,0,7,210000,USD,210000,US,100,US,1
597,2022,SE,0,0,170000,USD,170000,US,100,US,1
598,2022,MI,0,7,160000,USD,160000,US,100,US,1
599,2022,MI,0,7,130000,USD,130000,US,100,US,1
600,2022,EN,0,0,67000,USD,67000,CA,0,CA,1
601,2022,EN,0,0,52000,USD,52000,CA,0,CA,1
602,2022,SE,0,5,154000,USD,154000,US,100,US,1
603,2022,SE,0,5,126000,USD,126000,US,100,US,1
604,2022,SE,0,0,129000,USD,129000,US,0,US,1
605,2022,SE,0,0,150000,USD,150000,US,100,US,1
606,2022,MI,0,7,200000,USD,200000,IN,100,US,2
