연도,시도,구분,심한장애(남),심한장애(여),심한장애(계),심하지 않은 장애(남),심하지 않은 장애(여),심하지 않은 장애(계),합계(남),합계(여),합계(계)
2020 ,인천광역시,자폐성,1398 ,258 ,1656 ,0 ,0 ,0 ,1398 ,258 ,1656 
2020 ,광주광역시,자폐성,736 ,160 ,896 ,0 ,0 ,0 ,736 ,160 ,896 
2020 ,대전광역시,자폐성,904 ,178 ,1082 ,0 ,0 ,0 ,904 ,178 ,1082 
2020 ,울산광역시,자폐성,560 ,110 ,670 ,0 ,0 ,0 ,560 ,110 ,670 
2020 ,세종특별자치시,자폐성,172 ,36 ,208 ,0 ,0 ,0 ,172 ,36 ,208 
2020 ,제주특별자치도,자폐성,522 ,95 ,617 ,0 ,0 ,0 ,522 ,95 ,617 
2020 ,소계,정신,52738 ,50787 ,103525 ,0 ,0 ,0 ,52738 ,50787 ,103525 
2020 ,서울특별시,정신,8438 ,8087 ,16525 ,0 ,0 ,0 ,8438 ,8087 ,16525 
2020 ,부산광역시,정신,4251 ,3998 ,8249 ,0 ,0 ,0 ,4251 ,3998 ,8249 
2020 ,대구광역시,정신,3101 ,2922 ,6023 ,0 ,0 ,0 ,3101 ,2922 ,6023 
2020 ,인천광역시,정신,2304 ,2528 ,4832 ,0 ,0 ,0 ,2304 ,2528 ,4832 
2020 ,광주광역시,정신,1515 ,1605 ,3120 ,0 ,0 ,0 ,1515 ,1605 ,3120 
2020 ,대전광역시,정신,1600 ,1610 ,3210 ,0 ,0 ,0 ,1600 ,1610 ,3210 
2020 ,울산광역시,정신,708 ,744 ,1452 ,0 ,0 ,0 ,708 ,744 ,1452 
2020 ,세종특별자치시,정신,240 ,215 ,455 ,0 ,0 ,0 ,240 ,215 ,455 
2020 ,제주특별자치도,정신,649 ,646 ,1295 ,0 ,0 ,0 ,649 ,646 ,1295 
2020 ,소계,신장,43328 ,29835 ,73163 ,14256 ,10111 ,24367 ,57584 ,39946 ,97530 
2020 ,서울특별시,신장,8051 ,5377 ,13428 ,2532 ,1935 ,4467 ,10583 ,7312 ,17895 
2020 ,부산광역시,신장,3396 ,2292 ,5688 ,1113 ,876 ,1989 ,4509 ,3168 ,7677 
2020 ,대구광역시,신장,2154 ,1474 ,3628 ,745 ,526 ,1271 ,2899 ,2000 ,4899 
2020 ,인천광역시,신장,2646 ,1901 ,4547 ,767 ,554 ,1321 ,3413 ,2455 ,5868 
2020 ,광주광역시,신장,1081 ,763 ,1844 ,388 ,245 ,633 ,1469 ,1008 ,2477 
2020 ,대전광역시,신장,1270 ,866 ,2136 ,433 ,267 ,700 ,1703 ,1133 ,2836 
2020 ,울산광역시,신장,795 ,610 ,1405 ,371 ,289 ,660 ,1166 ,899 ,2065 
2020 ,세종특별자치시,신장,172 ,118 ,290 ,81 ,43 ,124 ,253 ,161 ,414 
2020 ,제주특별자치도,신장,709 ,411 ,1120 ,213 ,155 ,368 ,922 ,566 ,1488 
2020 ,소계,심장,2632 ,1516 ,4148 ,745 ,340 ,1085 ,3377 ,1856 ,5233 
2020 ,서울특별시,심장,525 ,287 ,812 ,157 ,71 ,228 ,682 ,358 ,1040 
2020 ,부산광역시,심장,277 ,134 ,411 ,35 ,21 ,56 ,312 ,155 ,467 
2020 ,대구광역시,심장,104 ,72 ,176 ,49 ,17 ,66 ,153 ,89 ,242 
2020 ,인천광역시,심장,124 ,78 ,202 ,34 ,22 ,56 ,158 ,100 ,258 
2020 ,광주광역시,심장,81 ,32 ,113 ,19 ,10 ,29 ,100 ,42 ,142 
2020 ,대전광역시,심장,53 ,41 ,94 ,19 ,6 ,25 ,72 ,47 ,119 
2020 ,울산광역시,심장,87 ,62 ,149 ,11 ,8 ,19 ,98 ,70 ,168 
2020 ,세종특별자치시,심장,9 ,4 ,13 ,5 ,3 ,8 ,14 ,7 ,21 
2020 ,제주특별자치도,심장,38 ,19 ,57 ,17 ,2 ,19 ,55 ,21 ,76 
2020 ,소계,호흡기,8331 ,2887 ,11218 ,196 ,130 ,326 ,8527 ,3017 ,11544 
2020 ,서울특별시,호흡기,1522 ,534 ,2056 ,40 ,29 ,69 ,1562 ,563 ,2125 
2020 ,부산광역시,호흡기,709 ,254 ,963 ,17 ,14 ,31 ,726 ,268 ,994 
2020 ,대구광역시,호흡기,317 ,89 ,406 ,12 ,2 ,14 ,329 ,91 ,420 
2020 ,인천광역시,호흡기,436 ,175 ,611 ,11 ,5 ,16 ,447 ,180 ,627 
2020 ,광주광역시,호흡기,206 ,84 ,290 ,4 ,2 ,6 ,210 ,86 ,296 
2020 ,대전광역시,호흡기,211 ,67 ,278 ,6 ,9 ,15 ,217 ,76 ,293 
2020 ,울산광역시,호흡기,188 ,67 ,255 ,8 ,2 ,10 ,196 ,69 ,265 
2020 ,세종특별자치시,호흡기,38 ,14 ,52 ,0 ,1 ,1 ,38 ,15 ,53 
2020 ,제주특별자치도,호흡기,189 ,54 ,243 ,3 ,3 ,6 ,192 ,57 ,249 
2020 ,소계,간,555 ,224 ,779 ,9165 ,3864 ,13029 ,9720 ,4088 ,13808 
2020 ,서울특별시,간,115 ,29 ,144 ,1679 ,774 ,2453 ,1794 ,803 ,2597 
2020 ,부산광역시,간,52 ,21 ,73 ,537 ,228 ,765 ,589 ,249 ,838 
2020 ,대구광역시,간,22 ,11 ,33 ,448 ,197 ,645 ,470 ,208 ,678 
2020 ,인천광역시,간,40 ,10 ,50 ,427 ,214 ,641 ,467 ,224 ,691 
2020 ,광주광역시,간,14 ,4 ,18 ,256 ,102 ,358 ,270 ,106 ,376 
2020 ,대전광역시,간,22 ,4 ,26 ,214 ,104 ,318 ,236 ,108 ,344 
2020 ,울산광역시,간,7 ,3 ,10 ,241 ,96 ,337 ,248 ,99 ,347 
2020 ,세종특별자치시,간,1 ,3 ,4 ,43 ,22 ,65 ,44 ,25 ,69 
2020 ,제주특별자치도,간,8 ,8 ,16 ,131 ,45 ,176 ,139 ,53 ,192 
2020 ,소계,안면,812 ,600 ,1412 ,738 ,527 ,1265 ,1550 ,1127 ,2677 
2020 ,서울특별시,안면,87 ,97 ,184 ,118 ,76 ,194 ,205 ,173 ,378 
2020 ,부산광역시,안면,73 ,42 ,115 ,63 ,52 ,115 ,136 ,94 ,230 
2020 ,대구광역시,안면,43 ,27 ,70 ,35 ,29 ,64 ,78 ,56 ,134 
2020 ,인천광역시,안면,42 ,33 ,75 ,38 ,33 ,71 ,80 ,66 ,146 
2020 ,광주광역시,안면,22 ,14 ,36 ,14 ,13 ,27 ,36 ,27 ,63 
2020 ,대전광역시,안면,34 ,13 ,47 ,16 ,9 ,25 ,50 ,22 ,72 
2020 ,울산광역시,안면,27 ,10 ,37 ,20 ,13 ,33 ,47 ,23 ,70 
2020 ,세종특별자치시,안면,4 ,3 ,7 ,3 ,2 ,5 ,7 ,5 ,12 
2020 ,제주특별자치도,안면,7 ,3 ,10 ,11 ,4 ,15 ,18 ,7 ,25 
2020 ,소계,장루.요루,933 ,559 ,1492 ,8542 ,5393 ,13935 ,9475 ,5952 ,15427 
2020 ,서울특별시,장루.요루,181 ,106 ,287 ,1615 ,999 ,2614 ,1796 ,1105 ,2901 
2020 ,부산광역시,장루.요루,60 ,51 ,111 ,617 ,363 ,980 ,677 ,414 ,1091 
2020 ,대구광역시,장루.요루,40 ,17 ,57 ,326 ,236 ,562 ,366 ,253 ,619 
2020 ,인천광역시,장루.요루,50 ,35 ,85 ,464 ,291 ,755 ,514 ,326 ,840 
2020 ,광주광역시,장루.요루,22 ,13 ,35 ,200 ,131 ,331 ,222 ,144 ,366 
2020 ,대전광역시,장루.요루,26 ,14 ,40 ,225 ,121 ,346 ,251 ,135 ,386 
2020 ,울산광역시,장루.요루,12 ,12 ,24 ,122 ,73 ,195 ,134 ,85 ,219 
2020 ,세종특별자치시,장루.요루,2 ,2 ,4 ,40 ,25 ,65 ,42 ,27 ,69 
2020 ,제주특별자치도,장루.요루,13 ,8 ,21 ,104 ,75 ,179 ,117 ,83 ,200 
2020 ,소계,뇌전증,1000 ,830 ,1830 ,2857 ,2406 ,5263 ,3857 ,3236 ,7093 
2020 ,서울특별시,뇌전증,177 ,159 ,336 ,508 ,407 ,915 ,685 ,566 ,1251 
2020 ,부산광역시,뇌전증,104 ,57 ,161 ,208 ,179 ,387 ,312 ,236 ,548 
2020 ,대구광역시,뇌전증,54 ,61 ,115 ,128 ,96 ,224 ,182 ,157 ,339 
2020 ,인천광역시,뇌전증,54 ,44 ,98 ,156 ,148 ,304 ,210 ,192 ,402 
2020 ,광주광역시,뇌전증,26 ,25 ,51 ,114 ,107 ,221 ,140 ,132 ,272 
2020 ,대전광역시,뇌전증,32 ,37 ,69 ,108 ,74 ,182 ,140 ,111 ,251 
2020 ,울산광역시,뇌전증,14 ,13 ,27 ,42 ,37 ,79 ,56 ,50 ,106 
2020 ,세종특별자치시,뇌전증,3 ,2 ,5 ,12 ,14 ,26 ,15 ,16 ,31 
2020 ,제주특별자치도,뇌전증,14 ,17 ,31 ,42 ,50 ,92 ,56 ,67 ,123 
2021 ,,,415423 ,281681 ,697104 ,665885 ,503185 ,1169070 ,1081308 ,784866 ,1866173 
2021 ,소계,지체,152432 ,79930 ,232362 ,538704 ,420396 ,959100 ,691136 ,500326 ,1191462 
2021 ,서울특별시,지체,20524 ,11568 ,32092 ,74197 ,61697 ,135894 ,94721 ,73265 ,167986 
2021 ,부산광역시,지체,10621 ,5079 ,15700 ,35121 ,26195 ,61316 ,45742 ,31274 ,77016 
2021 ,대구광역시,지체,6506 ,3378 ,9884 ,23957 ,16770 ,40727 ,30463 ,20148 ,50611 
2021 ,인천광역시,지체,9236 ,4347 ,13583 ,32620 ,21739 ,54359 ,41856 ,26086 ,67942 
2021 ,광주광역시,지체,3578 ,2057 ,5635 ,12920 ,10905 ,23825 ,16498 ,12962 ,29460 
2021 ,대전광역시,지체,4165 ,2048 ,6213 ,14824 ,10955 ,25779 ,18989 ,13003 ,31992 
2021 ,울산광역시,지체,2826 ,1376 ,4202 ,11660 ,7345 ,19005 ,14486 ,8721 ,23207 
2021 ,세종특별자치시,지체,786 ,383 ,1169 ,2763 ,1911 ,4674 ,3549 ,2294 ,5843 
2021 ,제주특별자치도,지체,1849 ,1096 ,2945 ,6072 ,5189 ,11261 ,7921 ,6285 ,14206 
2021 ,소계,시각,23883 ,23139 ,47022 ,125438 ,79160 ,204598 ,149321 ,102299 ,251620 
2021 ,서울특별시,시각,4838 ,4058 ,8896 ,19902 ,12422 ,32324 ,24740 ,16480 ,41220 
2021 ,부산광역시,시각,1678 ,1614 ,3292 ,8867 ,5715 ,14582 ,10545 ,7329 ,17874 
2021 ,대구광역시,시각,1119 ,1067 ,2186 ,5925 ,3763 ,9688 ,7044 ,4830 ,11874 
2021 ,인천광역시,시각,1320 ,1228 ,2548 ,6934 ,4269 ,11203 ,8254 ,5497 ,13751 
2021 ,광주광역시,시각,708 ,651 ,1359 ,3520 ,2325 ,5845 ,4228 ,2976 ,7204 
2021 ,대전광역시,시각,734 ,604 ,1338 ,3415 ,2189 ,5604 ,4149 ,2793 ,6942 
2021 ,울산광역시,시각,446 ,454 ,900 ,2429 ,1505 ,3934 ,2875 ,1959 ,4834 
2021 ,세종특별자치시,시각,87 ,77 ,164 ,679 ,374 ,1053 ,766 ,451 ,1217 
2021 ,제주특별자치도,시각,375 ,444 ,819 ,1947 ,1352 ,3299 ,2322 ,1796 ,4118 
2021 ,소계,청각,47961 ,42795 ,90756 ,168544 ,152449 ,320993 ,216505 ,195244 ,411749 
2021 ,서울특별시,청각,7030 ,5947 ,12977 ,25888 ,20849 ,46737 ,32918 ,26796 ,59714 
2021 ,부산광역시,청각,2869 ,2411 ,5280 ,10990 ,9101 ,20091 ,13859 ,11512 ,25371 
2021 ,대구광역시,청각,2215 ,2074 ,4289 ,10819 ,10589 ,21408 ,13034 ,12663 ,25697 
2021 ,인천광역시,청각,2691 ,2378 ,5069 ,10759 ,9300 ,20059 ,13450 ,11678 ,25128 
2021 ,광주광역시,청각,1349 ,1209 ,2558 ,4067 ,3595 ,7662 ,5416 ,4804 ,10220 
2021 ,대전광역시,청각,1089 ,1042 ,2131 ,4248 ,3763 ,8011 ,5337 ,4805 ,10142 
2021 ,울산광역시,청각,1228 ,805 ,2033 ,3330 ,2551 ,5881 ,4558 ,3356 ,7914 
2021 ,세종특별자치시,청각,210 ,221 ,431 ,685 ,664 ,1349 ,895 ,885 ,1780 
2021 ,제주특별자치도,청각,662 ,714 ,1376 ,2447 ,2894 ,5341 ,3109 ,3608 ,6717 
2021 ,소계,언어,8092 ,3372 ,11464 ,8282 ,3318 ,11600 ,16374 ,6690 ,23064 
2021 ,서울특별시,언어,1228 ,490 ,1718 ,1206 ,492 ,1698 ,2434 ,982 ,3416 
2021 ,부산광역시,언어,565 ,246 ,811 ,547 ,217 ,764 ,1112 ,463 ,1575 
2021 ,대구광역시,언어,422 ,150 ,572 ,404 ,172 ,576 ,826 ,322 ,1148 
2021 ,인천광역시,언어,503 ,205 ,708 ,610 ,225 ,835 ,1113 ,430 ,1543 
2021 ,광주광역시,언어,209 ,92 ,301 ,199 ,71 ,270 ,408 ,163 ,571 
2021 ,대전광역시,언어,245 ,101 ,346 ,176 ,81 ,257 ,421 ,182 ,603 
2021 ,울산광역시,언어,165 ,67 ,232 ,145 ,76 ,221 ,310 ,143 ,453 
2021 ,세종특별자치시,언어,35 ,10 ,45 ,57 ,11 ,68 ,92 ,21 ,113 
2021 ,제주특별자치도,언어,145 ,59 ,204 ,147 ,55 ,202 ,292 ,114 ,406 
2021 ,소계,지적,133375 ,88182 ,221557 ,0 ,0 ,0 ,133375 ,88182 ,221557 
2021 ,서울특별시,지적,16724 ,10606 ,27330 ,0 ,0 ,0 ,16724 ,10606 ,27330 
2021 ,부산광역시,지적,7507 ,4877 ,12384 ,0 ,0 ,0 ,7507 ,4877 ,12384 
2021 ,대구광역시,지적,6352 ,4152 ,10504 ,0 ,0 ,0 ,6352 ,4152 ,10504 
2021 ,인천광역시,지적,6698 ,4367 ,11065 ,0 ,0 ,0 ,6698 ,4367 ,11065 
2021 ,광주광역시,지적,4264 ,3038 ,7302 ,0 ,0 ,0 ,4264 ,3038 ,7302 
2021 ,대전광역시,지적,4071 ,2774 ,6845 ,0 ,0 ,0 ,4071 ,2774 ,6845 
2021 ,울산광역시,지적,2736 ,1806 ,4542 ,0 ,0 ,0 ,2736 ,1806 ,4542 
2021 ,세종특별자치시,지적,731 ,417 ,1148 ,0 ,0 ,0 ,731 ,417 ,1148 
2021 ,제주특별자치도,지적,2007 ,1501 ,3508 ,0 ,0 ,0 ,2007 ,1501 ,3508 
2021 ,소계,뇌병변,79360 ,67075 ,146435 ,63240 ,38633 ,101873 ,142600 ,105708 ,248308 
2021 ,서울특별시,뇌병변,13316 ,10531 ,23847 ,10526 ,5926 ,16452 ,23842 ,16457 ,40299 
2021 ,부산광역시,뇌병변,6427 ,4977 ,11404 ,5032 ,3054 ,8086 ,11459 ,8031 ,19490 
2021 ,대구광역시,뇌병변,4013 ,3291 ,7304 ,3380 ,1888 ,5268 ,7393 ,5179 ,12572 
2021 ,인천광역시,뇌병변,4280 ,3577 ,7857 ,3392 ,2003 ,5395 ,7672 ,5580 ,13252 
2021 ,광주광역시,뇌병변,2166 ,1872 ,4038 ,1711 ,1050 ,2761 ,3877 ,2922 ,6799 
2021 ,대전광역시,뇌병변,2284 ,2039 ,4323 ,1757 ,1113 ,2870 ,4041 ,3152 ,7193 
2021 ,울산광역시,뇌병변,1582 ,1350 ,2932 ,1158 ,739 ,1897 ,2740 ,2089 ,4829 
2021 ,세종특별자치시,뇌병변,353 ,332 ,685 ,268 ,176 ,444 ,621 ,508 ,1129 
2021 ,제주특별자치도,뇌병변,1062 ,943 ,2005 ,890 ,608 ,1498 ,1952 ,1551 ,3503 
2021 ,소계,자폐성,28218 ,5432 ,33650 ,0 ,0 ,0 ,28218 ,5432 ,33650 
2021 ,서울특별시,자폐성,5788 ,1067 ,6855 ,0 ,0 ,0 ,5788 ,1067 ,6855 
2021 ,부산광역시,자폐성,1859 ,395 ,2254 ,0 ,0 ,0 ,1859 ,395 ,2254 
2021 ,대구광역시,자폐성,1147 ,219 ,1366 ,0 ,0 ,0 ,1147 ,219 ,1366 
2021 ,인천광역시,자폐성,1502 ,304 ,1806 ,0 ,0 ,0 ,1502 ,304 ,1806 
2021 ,광주광역시,자폐성,806 ,174 ,980 ,0 ,0 ,0 ,806 ,174 ,980 
2021 ,대전광역시,자폐성,950 ,180 ,1130 ,0 ,0 ,0 ,950 ,180 ,1130 
2021 ,울산광역시,자폐성,610 ,119 ,729 ,0 ,0 ,0 ,610 ,119 ,729 
2021 ,세종특별자치시,자폐성,192 ,38 ,230 ,0 ,0 ,0 ,192 ,38 ,230 
2021 ,제주특별자치도,자폐성,578 ,108 ,686 ,0 ,0 ,0 ,578 ,108 ,686 
2021 ,소계,정신,52804 ,51177 ,103981 ,154 ,79 ,233 ,52958 ,51256 ,104214 
2021 ,서울특별시,정신,8440 ,8121 ,16561 ,30 ,9 ,39 ,8470 ,8130 ,16600 
2021 ,부산광역시,정신,4238 ,3994 ,8232 ,5 ,5 ,10 ,4243 ,3999 ,8242 
2021 ,대구광역시,정신,3076 ,2906 ,5982 ,8 ,5 ,13 ,3084 ,2911 ,5995 
2021 ,인천광역시,정신,2315 ,2538 ,4853 ,8 ,4 ,12 ,2323 ,2542 ,4865 
2021 ,광주광역시,정신,1522 ,1636 ,3158 ,8 ,4 ,12 ,1530 ,1640 ,3170 
2021 ,대전광역시,정신,1597 ,1616 ,3213 ,5 ,3 ,8 ,1602 ,1619 ,3221 
2021 ,울산광역시,정신,712 ,757 ,1469 ,3 ,0 ,3 ,715 ,757 ,1472 
2021 ,세종특별자치시,정신,240 ,214 ,454 ,0 ,0 ,0 ,240 ,214 ,454 
2021 ,제주특별자치도,정신,658 ,648 ,1306 ,3 ,0 ,3 ,661 ,648 ,1309 
2021 ,소계,신장,45754 ,31111 ,76865 ,14773 ,10497 ,25270 ,60527 ,41608 ,102135 
2021 ,서울특별시,신장,8302 ,5483 ,13785 ,2569 ,1947 ,4516 ,10871 ,7430 ,18301 
2021 ,부산광역시,신장,3598 ,2417 ,6015 ,1112 ,884 ,1996 ,4710 ,3301 ,8011 
2021 ,대구광역시,신장,2255 ,1488 ,3743 ,757 ,552 ,1309 ,3012 ,2040 ,5052 
2021 ,인천광역시,신장,2834 ,2006 ,4840 ,804 ,595 ,1399 ,3638 ,2601 ,6239 
2021 ,광주광역시,신장,1138 ,786 ,1924 ,397 ,250 ,647 ,1535 ,1036 ,2571 
2021 ,대전광역시,신장,1314 ,904 ,2218 ,439 ,274 ,713 ,1753 ,1178 ,2931 
2021 ,울산광역시,신장,837 ,631 ,1468 ,392 ,296 ,688 ,1229 ,927 ,2156 
2021 ,세종특별자치시,신장,186 ,135 ,321 ,84 ,44 ,128 ,270 ,179 ,449 
2021 ,제주특별자치도,신장,746 ,433 ,1179 ,222 ,159 ,381 ,968 ,592 ,1560 
2021 ,소계,심장,2568 ,1471 ,4039 ,772 ,355 ,1127 ,3340 ,1826 ,5166 
2021 ,서울특별시,심장,498 ,284 ,782 ,156 ,70 ,226 ,654 ,354 ,1008 
2021 ,부산광역시,심장,263 ,130 ,393 ,38 ,24 ,62 ,301 ,154 ,455 
2021 ,대구광역시,심장,102 ,68 ,170 ,52 ,17 ,69 ,154 ,85 ,239 
2021 ,인천광역시,심장,125 ,78 ,203 ,36 ,23 ,59 ,161 ,101 ,262 
2021 ,광주광역시,심장,81 ,30 ,111 ,19 ,10 ,29 ,100 ,40 ,140 
2021 ,대전광역시,심장,46 ,39 ,85 ,21 ,5 ,26 ,67 ,44 ,111 
2021 ,울산광역시,심장,91 ,61 ,152 ,14 ,8 ,22 ,105 ,69 ,174 
2021 ,세종특별자치시,심장,11 ,4 ,15 ,5 ,3 ,8 ,16 ,7 ,23 
2021 ,제주특별자치도,심장,39 ,18 ,57 ,16 ,2 ,18 ,55 ,20 ,75 
2021 ,소계,호흡기,8259 ,2878 ,11137 ,244 ,160 ,404 ,8503 ,3038 ,11541 
2021 ,서울특별시,호흡기,1528 ,528 ,2056 ,50 ,37 ,87 ,1578 ,565 ,2143 
2021 ,부산광역시,호흡기,700 ,251 ,951 ,20 ,18 ,38 ,720 ,269 ,989 
2021 ,대구광역시,호흡기,310 ,91 ,401 ,10 ,2 ,12 ,320 ,93 ,413 
2021 ,인천광역시,호흡기,436 ,178 ,614 ,13 ,5 ,18 ,449 ,183 ,632 
2021 ,광주광역시,호흡기,203 ,82 ,285 ,4 ,4 ,8 ,207 ,86 ,293 
2021 ,대전광역시,호흡기,209 ,61 ,270 ,6 ,8 ,14 ,215 ,69 ,284 
2021 ,울산광역시,호흡기,177 ,68 ,245 ,7 ,3 ,10 ,184 ,71 ,255 
2021 ,세종특별자치시,호흡기,37 ,14 ,51 ,4 ,1 ,5 ,41 ,15 ,56 
2021 ,제주특별자치도,호흡기,178 ,58 ,236 ,2 ,3 ,5 ,180 ,61 ,241 
2021 ,소계,간,539 ,208 ,747 ,9580 ,4106 ,13686 ,10119 ,4314 ,14433 
2021 ,서울특별시,간,114 ,29 ,143 ,1721 ,799 ,2520 ,1835 ,828 ,2663 
2021 ,부산광역시,간,44 ,22 ,66 ,570 ,240 ,810 ,614 ,262 ,876 
2021 ,대구광역시,간,26 ,9 ,35 ,464 ,208 ,672 ,490 ,217 ,707 
2021 ,인천광역시,간,38 ,9 ,47 ,454 ,227 ,681 ,492 ,236 ,728 
2021 ,광주광역시,간,12 ,3 ,15 ,263 ,108 ,371 ,275 ,111 ,386 
2021 ,대전광역시,간,20 ,6 ,26 ,220 ,112 ,332 ,240 ,118 ,358 
2021 ,울산광역시,간,6 ,2 ,8 ,248 ,100 ,348 ,254 ,102 ,356 
2021 ,세종특별자치시,간,1 ,2 ,3 ,45 ,21 ,66 ,46 ,23 ,69 
2021 ,제주특별자치도,간,9 ,7 ,16 ,137 ,48 ,185 ,146 ,55 ,201 
2021 ,소계,안면,803 ,595 ,1398 ,779 ,535 ,1314 ,1582 ,1130 ,2712 
2021 ,서울특별시,안면,85 ,93 ,178 ,125 ,78 ,203 ,210 ,171 ,381 
2021 ,부산광역시,안면,74 ,38 ,112 ,65 ,51 ,116 ,139 ,89 ,228 
2021 ,대구광역시,안면,44 ,27 ,71 ,41 ,31 ,72 ,85 ,58 ,143 
2021 ,인천광역시,안면,40 ,32 ,72 ,41 ,31 ,72 ,81 ,63 ,144 
2021 ,광주광역시,안면,22 ,14 ,36 ,15 ,12 ,27 ,37 ,26 ,63 
2021 ,대전광역시,안면,35 ,13 ,48 ,18 ,9 ,27 ,53 ,22 ,75 
2021 ,울산광역시,안면,26 ,10 ,36 ,21 ,14 ,35 ,47 ,24 ,71 
2021 ,세종특별자치시,안면,5 ,3 ,8 ,3 ,2 ,5 ,8 ,5 ,13 
2021 ,제주특별자치도,안면,7 ,4 ,11 ,11 ,6 ,17 ,18 ,10 ,28 
2021 ,소계,장루.요루,969 ,583 ,1552 ,8887 ,5573 ,14460 ,9856 ,6156 ,16012 
2021 ,서울특별시,장루.요루,188 ,114 ,302 ,1642 ,1015 ,2657 ,1830 ,1129 ,2959 
2021 ,부산광역시,장루.요루,68 ,51 ,119 ,630 ,385 ,1015 ,698 ,436 ,1134 
2021 ,대구광역시,장루.요루,41 ,17 ,58 ,323 ,244 ,567 ,364 ,261 ,625 
2021 ,인천광역시,장루.요루,52 ,32 ,84 ,494 ,303 ,797 ,546 ,335 ,881 
2021 ,광주광역시,장루.요루,21 ,13 ,34 ,207 ,145 ,352 ,228 ,158 ,386 
2021 ,대전광역시,장루.요루,32 ,15 ,47 ,235 ,125 ,360 ,267 ,140 ,407 
2021 ,울산광역시,장루.요루,13 ,14 ,27 ,125 ,73 ,198 ,138 ,87 ,225 
2021 ,세종특별자치시,장루.요루,1 ,3 ,4 ,48 ,28 ,76 ,49 ,31 ,80 
2021 ,제주특별자치도,장루.요루,14 ,7 ,21 ,101 ,73 ,174 ,115 ,80 ,195 
2021 ,소계,뇌전증,1002 ,846 ,1848 ,2864 ,2365 ,5229 ,3866 ,3211 ,7077 
2021 ,서울특별시,뇌전증,175 ,164 ,339 ,512 ,397 ,909 ,687 ,561 ,1248 
2021 ,부산광역시,뇌전증,105 ,60 ,165 ,211 ,176 ,387 ,316 ,236 ,552 
2021 ,대구광역시,뇌전증,52 ,59 ,111 ,135 ,90 ,225 ,187 ,149 ,336 
2021 ,인천광역시,뇌전증,55 ,41 ,96 ,157 ,155 ,312 ,212 ,196 ,408 
2021 ,광주광역시,뇌전증,30 ,28 ,58 ,110 ,106 ,216 ,140 ,134 ,274 
2021 ,대전광역시,뇌전증,33 ,37 ,70 ,110 ,75 ,185 ,143 ,112 ,255 
2021 ,울산광역시,뇌전증,18 ,12 ,30 ,43 ,40 ,83 ,61 ,52 ,113 
2021 ,세종특별자치시,뇌전증,3 ,1 ,4 ,12 ,10 ,22 ,15 ,11 ,26 
2021 ,제주특별자치도,뇌전증,14 ,17 ,31 ,43 ,49 ,92 ,57 ,66 ,123 
