work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size,salary_in_usd
2020,MI,FT,Scientist,70000,EUR,DE,0,DE,L,79833
2020,SE,FT,Scientist,260000,USD,JP,0,JP,S,260000
2020,SE,FT,Engineer,85000,GBP,GB,50,GB,M,109024
2020,MI,FT,Analyst,20000,USD,HN,0,HN,S,20000
2020,SE,FT,Engineer,150000,USD,US,50,US,L,150000
2020,EN,FT,Analyst,72000,USD,US,100,US,L,72000
2020,SE,FT,Scientist,190000,USD,US,100,US,S,190000
2020,MI,FT,Scientist,11000000,HUF,HU,50,HU,L,35735
2020,MI,FT,Analyst,135000,USD,US,100,US,L,135000
2020,SE,FT,Engineer,125000,USD,NZ,50,NZ,S,125000
2020,EN,FT,Scientist,45000,EUR,FR,0,FR,S,51321
2020,MI,FT,Scientist,3000000,INR,IN,0,IN,L,40481
2020,EN,FT,Scientist,35000,EUR,FR,0,FR,M,39916
2020,MI,FT,Analyst,87000,USD,US,100,US,L,87000
2020,MI,FT,Analyst,85000,USD,US,100,US,L,85000
2020,MI,FT,Analyst,8000,USD,PK,50,PK,L,8000
2020,EN,FT,Engineer,4450000,JPY,JP,100,JP,S,41689
2020,SE,FT,Engineer,100000,EUR,PL,100,GB,S,114047
2020,EN,FT,Consultant,423000,INR,IN,50,IN,M,5707
2020,MI,FT,Engineer,56000,USD,PT,100,US,M,56000
2020,MI,FT,Engineer,299000,CNY,CN,0,CN,M,43331
2020,MI,FT,Analyst,450000,INR,IN,100,IN,L,6072
2020,SE,FT,Engineer,42000,EUR,GR,50,GR,L,47899
2020,MI,FT,Analyst,98000,USD,US,0,US,M,98000
2020,MI,FT,Scientist,115000,USD,AE,0,AE,L,115000
2020,EX,FT,Scientist,325000,USD,US,100,US,L,325000
2020,EN,FT,Scientist,42000,USD,NL,50,NL,L,42000
2020,SE,FT,Engineer,720000,MXN,MX,0,MX,S,33511
2020,EN,CT,Analyst,100000,USD,US,100,US,L,100000
2020,SE,FT,Manager,157000,CAD,CA,50,CA,L,117104
2020,MI,FT,Engineer,51999,EUR,DE,100,DE,S,59303
2020,EN,FT,Engineer,70000,USD,US,100,US,L,70000
2020,SE,FT,Scientist,60000,EUR,GR,100,US,L,68428
2020,MI,FT,Scientist,450000,USD,US,0,US,M,450000
2020,MI,FT,Analyst,41000,EUR,FR,50,FR,L,46759
2020,MI,FT,Engineer,65000,EUR,AT,50,AT,L,74130
2020,MI,FT,Consultant,103000,USD,US,100,US,L,103000
2020,EN,FT,Engineer,250000,USD,US,50,US,L,250000
2020,EN,FT,Analyst,10000,USD,NG,100,NG,S,10000
2020,EN,FT,Engineer,138000,USD,US,100,US,S,138000
2020,MI,FT,Scientist,45760,USD,PH,100,US,S,45760
2020,EX,FT,Engineer,70000,EUR,ES,50,ES,L,79833
2020,MI,FT,Engineer,44000,EUR,PT,0,PT,M,50180
2020,MI,FT,Engineer,106000,USD,US,100,US,L,106000
2020,MI,FT,Engineer,88000,GBP,GB,50,GB,L,112872
2020,EN,PT,Engineer,14000,EUR,DE,100,DE,S,15966
2020,MI,FT,Scientist,60000,GBP,GB,100,GB,S,76958
2020,SE,FT,Engineer,188000,USD,US,100,US,L,188000
2020,MI,FT,Scientist,105000,USD,US,100,US,L,105000
2020,MI,FT,Engineer,61500,EUR,FR,50,FR,L,70139
2020,EN,FT,Analyst,450000,INR,IN,0,IN,S,6072
2020,EN,FT,Analyst,91000,USD,US,100,US,L,91000
2020,EN,FT,Scientist,300000,DKK,DK,50,DK,S,45896
2020,EN,FT,Engineer,48000,EUR,PK,100,DE,L,54742
2020,SE,FL,Engineer,60000,USD,RU,100,US,S,60000
2020,SE,FT,Scientist,130000,EUR,DE,100,DE,M,148261
2020,MI,FT,Scientist,34000,EUR,ES,100,ES,M,38776
2020,MI,FT,Scientist,118000,USD,US,100,US,M,118000
2020,SE,FT,Scientist,120000,USD,US,50,US,L,120000
2020,MI,FT,Scientist,138350,USD,US,100,US,M,138350
2020,MI,FT,Engineer,110000,USD,US,100,US,L,110000
2020,MI,FT,Engineer,130800,USD,ES,100,US,M,130800
2020,EN,PT,Scientist,19000,EUR,IT,50,IT,S,21669
2020,SE,FT,Scientist,412000,USD,US,100,US,L,412000
2020,SE,FT,Engineer,40000,EUR,HR,100,HR,S,45618
2020,EN,FT,Scientist,55000,EUR,DE,50,DE,S,62726
2020,EN,FT,Scientist,43200,EUR,DE,0,DE,S,49268
2020,SE,FT,Manager,190200,USD,US,100,US,M,190200
2020,EN,FT,Scientist,105000,USD,US,100,US,S,105000
2020,SE,FT,Scientist,80000,EUR,AT,0,AT,S,91237
2020,MI,FT,Scientist,55000,EUR,FR,50,LU,S,62726
2020,MI,FT,Scientist,37000,EUR,FR,50,FR,S,42197
2021,EN,FT,Scientist,60000,GBP,GB,50,GB,L,82528
2021,EX,FT,Analyst,150000,USD,IN,100,US,L,150000
2021,EX,FT,Data,235000,USD,US,100,US,L,235000
2021,SE,FT,Scientist,45000,EUR,FR,50,FR,L,53192
2021,MI,FT,Analyst,100000,USD,US,100,US,M,100000
2021,MI,CT,Engineer,270000,USD,US,100,US,L,270000
2021,EN,FT,Analyst,80000,USD,US,100,US,M,80000
2021,SE,FT,Engineer,67000,EUR,DE,100,DE,L,79197
2021,MI,FT,Engineer,140000,USD,US,100,US,L,140000
2021,MI,FT,Scientist,68000,CAD,GB,50,CA,L,54238
2021,MI,FT,Engineer,40000,EUR,ES,100,ES,S,47282
2021,EX,FT,Scientist,130000,EUR,IT,100,PL,L,153667
2021,MI,FT,Engineer,110000,PLN,PL,100,PL,L,28476
2021,EN,FT,Analyst,50000,EUR,FR,50,FR,M,59102
2021,MI,FT,Engineer,110000,USD,US,100,US,L,110000
2021,SE,FT,Analyst,170000,USD,US,100,US,L,170000
2021,SE,FT,Analyst,80000,USD,BG,100,US,S,80000
2021,SE,FT,Analyst,75000,EUR,GR,100,DK,L,88654
2021,EN,FT,Consultant,65000,EUR,DE,100,DE,S,76833
2021,MI,FT,Analyst,1450000,INR,IN,100,IN,L,19609
2021,SE,FT,Engineer,276000,USD,US,0,US,L,276000
2021,EN,FT,Scientist,2200000,INR,IN,50,IN,L,29751
2021,MI,FT,Engineer,120000,SGD,SG,50,SG,L,89294
2021,EN,PT,Scientist,12000,USD,BR,100,US,S,12000
2021,MI,FT,Analyst,450000,USD,US,100,US,L,450000
2021,EN,FT,Engineer,70000,USD,US,100,US,M,70000
2021,MI,FT,Engineer,81000,EUR,DE,100,US,S,95746
2021,MI,FT,Analyst,75000,USD,US,0,US,L,75000
2021,SE,FT,Engineer,150000,USD,US,100,US,L,150000
2021,MI,FT,Analyst,11000000,HUF,HU,50,US,L,36259
2021,MI,FT,Analyst,62000,USD,US,0,US,L,62000
2021,MI,FT,Scientist,73000,USD,US,0,US,L,73000
2021,MI,FT,Analyst,37456,GBP,GB,50,GB,L,51519
2021,MI,FT,Scientist,235000,CAD,CA,100,CA,L,187442
2021,SE,FT,Engineer,115000,USD,US,100,US,S,115000
2021,SE,FT,Engineer,150000,USD,US,100,US,M,150000
2021,EN,FT,Engineer,2250000,INR,IN,100,IN,L,30428
2021,SE,FT,Engineer,80000,EUR,DE,50,DE,L,94564
2021,SE,FT,Engineer,82500,GBP,GB,100,GB,M,113476
2021,SE,FT,Engineer,75000,GBP,GB,100,GB,S,103160
2021,EN,PT,Scientist,12000,USD,PK,100,US,M,12000
2021,MI,FT,Engineer,38400,EUR,NL,100,NL,L,45391
2021,EN,FT,Scientist,225000,USD,US,100,US,L,225000
2021,MI,FT,Scientist,50000,USD,NG,100,NG,L,50000
2021,MI,FT,Engineer,34000,EUR,GR,100,GR,M,40189
2021,EN,FT,Analyst,90000,USD,US,100,US,S,90000
2021,MI,FT,Engineer,200000,USD,US,100,US,L,200000
2021,MI,FT,Engineer,60000,USD,ES,50,RO,M,60000
2021,SE,FT,Engineer,200000,USD,US,100,US,M,200000
2021,EN,FT,Analyst,50000,USD,US,100,US,M,50000
2021,EN,FT,Scientist,80000,GBP,GB,0,GB,L,110037
2021,EN,PT,Analyst,8760,EUR,ES,50,ES,M,10354
2021,MI,FT,Scientist,151000,USD,US,100,US,L,151000
2021,SE,FT,Scientist,120000,USD,US,50,US,S,120000
2021,MI,FT,Scientist,700000,INR,IN,0,IN,S,9466
2021,EN,FT,Engineer,20000,USD,IN,100,IN,S,20000
2021,SE,FT,Scientist,3000000,INR,IN,50,IN,L,40570
2021,EN,FT,Developer,100000,USD,IQ,50,IQ,S,100000
2021,EN,FT,Scientist,42000,EUR,FR,50,FR,M,49646
2021,MI,FT,Scientist,38400,USD,VN,100,US,M,38400
2021,SE,FT,Engineer,24000,USD,BR,100,BR,M,24000
2021,EN,FT,Scientist,100000,USD,US,0,US,S,100000
2021,MI,FT,Analyst,90000,USD,US,100,US,M,90000
2021,MI,FT,Engineer,7000000,JPY,JP,50,JP,S,63711
2021,MI,FT,Engineer,8500000,JPY,JP,50,JP,S,77364
2021,SE,FT,Scientist,220000,USD,US,0,US,L,220000
2021,EN,FT,Scientist,80000,USD,US,100,US,M,80000
2021,MI,FT,Analyst,135000,USD,US,100,US,L,135000
2021,SE,FT,Manager,240000,USD,US,0,US,L,240000
2021,SE,FT,Engineer,150000,USD,US,0,US,L,150000
2021,MI,FT,Scientist,82500,USD,US,100,US,S,82500
2021,MI,FT,Engineer,100000,USD,US,100,US,L,100000
2021,SE,FT,Engineer,70000,EUR,BE,50,BE,M,82744
2021,MI,FT,Scientist,53000,EUR,FR,50,FR,M,62649
2021,MI,FT,Engineer,90000,USD,US,100,US,L,90000
2021,SE,FT,Engineer,153000,USD,US,100,US,L,153000
2021,SE,FT,Engineer,160000,USD,BR,100,US,S,160000
2021,SE,FT,Scientist,168000,USD,JP,0,JP,S,168000
2021,MI,FT,Scientist,150000,USD,US,100,US,M,150000
2021,MI,FT,Scientist,95000,CAD,CA,100,CA,L,75774
2021,EN,FT,Scientist,13400,USD,UA,100,UA,L,13400
2021,SE,FT,Manager,144000,USD,US,100,US,L,144000
2021,SE,FT,Engineer,159500,CAD,CA,50,CA,L,127221
2021,MI,FT,Scientist,160000,SGD,SG,100,IL,M,119059
2021,MI,FT,Scientist,423000,USD,US,50,US,L,423000
2021,SE,FT,Manager,120000,USD,US,100,US,M,120000
2021,EN,FT,Engineer,125000,USD,US,100,US,S,125000
2021,EX,FT,Data,230000,USD,RU,50,RU,L,230000
2021,EX,FT,Scientist,85000,USD,RU,0,RU,M,85000
2021,MI,FT,Engineer,24000,EUR,MT,50,MT,L,28369
2021,EN,FT,Consultant,54000,EUR,DE,50,DE,L,63831
2021,EX,FT,Scientist,110000,EUR,DE,50,DE,M,130026
2021,SE,FT,Data,165000,USD,US,100,US,L,165000
2021,EN,FT,Engineer,80000,USD,US,100,US,L,80000
2021,EX,FT,Scientist,250000,USD,US,0,US,L,250000
2021,EN,FT,Analyst,55000,USD,US,50,US,S,55000
2021,MI,FT,Architect,150000,USD,US,100,US,L,150000
2021,MI,FT,Architect,170000,USD,US,100,US,L,170000
2021,MI,FT,Engineer,60000,GBP,GB,100,GB,L,82528
2021,EN,FT,Analyst,60000,USD,US,100,US,S,60000
2021,SE,FT,Scientist,235000,USD,US,100,US,L,235000
2021,SE,FT,Scientist,51400,EUR,PT,50,PT,L,60757
2021,SE,FT,Engineer,174000,USD,US,100,US,L,174000
2021,MI,FT,Scientist,58000,MXN,MX,0,MX,S,2859
2021,MI,FT,Scientist,30400000,CLP,CL,100,CL,L,40038
2021,EN,FT,Engineer,81000,USD,US,50,US,S,81000
2021,MI,FT,Scientist,420000,INR,IN,100,US,S,5679
2021,MI,FT,Engineer,1672000,INR,IN,0,IN,L,22611
2021,MI,FT,Scientist,76760,EUR,DE,50,DE,L,90734
2021,MI,FT,Engineer,22000,EUR,RO,0,US,L,26005
2021,SE,FT,Analyst,45000,GBP,GB,50,GB,L,61896
2021,MI,FL,Scientist,12000,USD,PK,50,PK,M,12000
2021,MI,FT,Engineer,4000,USD,IR,100,IR,M,4000
2021,SE,FT,Engineer,50000,USD,VN,100,GB,M,50000
2021,EX,FT,Consultant,59000,EUR,FR,100,ES,S,69741
2021,SE,FT,Engineer,65000,EUR,RO,50,GB,S,76833
2021,MI,FT,Engineer,74000,USD,JP,50,JP,S,74000
2021,SE,FT,Manager,152000,USD,US,100,FR,L,152000
2021,EN,FT,Engineer,21844,USD,CO,50,CO,M,21844
2021,MI,FT,Engineer,18000,USD,MD,0,MD,S,18000
2021,SE,FT,Manager,174000,USD,US,100,US,L,174000
2021,SE,FT,Scientist,120500,CAD,CA,50,CA,L,96113
2021,MI,FT,Scientist,147000,USD,US,50,US,L,147000
2021,EN,FT,Analyst,9272,USD,KE,100,KE,S,9272
2021,SE,FT,Engineer,1799997,INR,IN,100,IN,L,24342
2021,SE,FT,Manager,4000000,INR,IN,50,US,L,54094
2021,EN,FT,Consultant,90000,USD,US,100,US,S,90000
2021,MI,FT,Scientist,52000,EUR,DE,50,AT,M,61467
2021,SE,FT,Engineer,195000,USD,US,100,US,M,195000
2021,MI,FT,Scientist,32000,EUR,ES,100,ES,L,37825
2021,SE,FT,Scientist,50000,USD,FR,100,US,S,50000
2021,MI,FT,Scientist,160000,USD,US,100,US,L,160000
2021,MI,FT,Scientist,69600,BRL,BR,0,BR,S,12901
2021,SE,FT,Engineer,200000,USD,US,100,US,L,200000
2021,SE,FT,Engineer,165000,USD,US,0,US,M,165000
2021,MI,FL,Engineer,20000,USD,IT,0,US,L,20000
2021,SE,FT,Manager,120000,USD,US,0,US,L,120000
2021,MI,FT,Engineer,21000,EUR,SI,50,SI,L,24823
2021,MI,FT,Scientist,48000,EUR,FR,50,FR,S,56738
2021,MI,FT,Engineer,48000,GBP,HK,50,GB,S,66022
2021,EN,FT,Engineer,435000,INR,IN,0,CH,L,5882
2021,EN,FT,Engineer,21000,EUR,DE,50,DE,M,24823
2021,SE,FT,Engineer,185000,USD,US,100,US,L,185000
2021,EN,PT,Engineer,180000,DKK,DK,50,DK,S,28609
2021,MI,FT,Scientist,76760,EUR,DE,50,DE,L,90734
2021,MI,FT,Engineer,75000,EUR,BE,100,BE,M,88654
2021,SE,FT,Manager,140000,USD,US,100,US,L,140000
2021,MI,FT,Engineer,180000,PLN,PL,100,PL,L,46597
2021,MI,FT,Scientist,85000,GBP,GB,50,GB,L,116914
2021,MI,FT,Scientist,2500000,INR,IN,0,IN,M,33808
2021,MI,FT,Scientist,40900,GBP,GB,50,GB,L,56256
2021,SE,FT,Scientist,225000,USD,US,100,CA,L,225000
2021,EX,CT,Scientist,416000,USD,US,100,US,S,416000
2021,SE,FT,Scientist,110000,CAD,CA,100,CA,S,87738
2021,MI,FT,Scientist,75000,EUR,DE,50,DE,L,88654
2021,SE,FT,Scientist,135000,USD,US,0,US,L,135000
2021,SE,FT,Analyst,90000,CAD,CA,100,CA,M,71786
2021,EN,FT,Engineer,1200000,INR,IN,100,IN,L,16228
2021,SE,FT,Engineer,256000,USD,US,100,US,S,256000
2021,SE,FT,Engineer,200000,USD,US,100,US,L,200000
2021,SE,FT,Analyst,200000,USD,US,100,US,L,200000
2021,MI,FT,Architect,180000,USD,US,100,US,L,180000
2021,MI,FT,Scientist,110000,USD,US,0,US,S,110000
2021,MI,FT,Scientist,80000,CAD,CA,100,CA,M,63810
2021,MI,FT,Scientist,39600,EUR,ES,100,ES,M,46809
2021,EN,FT,Scientist,4000,USD,VN,0,VN,M,4000
2021,EN,FT,Engineer,1600000,INR,IN,50,IN,M,21637
2021,SE,FT,Scientist,130000,CAD,CA,100,CA,L,103691
2021,MI,FT,Analyst,80000,USD,US,100,US,L,80000
2021,MI,FT,Engineer,110000,USD,US,100,US,L,110000
2021,SE,FT,Scientist,165000,USD,US,100,US,L,165000
2021,EN,FT,Scientist,1335000,INR,IN,100,AS,S,18053
2021,MI,FT,Engineer,52500,GBP,GB,50,GB,L,72212
2021,EN,FT,Scientist,31000,EUR,FR,50,FR,L,36643
2021,MI,FT,Engineer,108000,TRY,TR,0,TR,M,12103
2021,SE,FT,Engineer,70000,GBP,GB,50,GB,L,96282
2021,SE,FT,Analyst,170000,USD,US,100,US,M,170000
2021,MI,FT,Scientist,115000,USD,US,50,US,L,115000
2021,EN,FT,Scientist,90000,USD,US,100,US,S,90000
2021,EX,FT,Engineer,600000,USD,US,100,US,L,600000
2021,EN,FT,Scientist,2100000,INR,IN,100,IN,M,28399
2021,MI,FT,Analyst,93000,USD,US,100,US,L,93000
2021,SE,FT,Architect,125000,CAD,CA,50,CA,M,99703
2021,MI,FT,Engineer,200000,USD,US,100,US,L,200000
2021,SE,FT,Scientist,147000,EUR,DE,100,DE,M,173762
2021,SE,FT,Engineer,185000,USD,US,50,US,L,185000
2021,EX,FT,Scientist,120000,EUR,DE,0,DE,L,141846
2021,MI,FT,Scientist,130000,USD,US,50,US,L,130000
2021,SE,FT,Analyst,54000,EUR,DE,50,DE,L,63831
2021,MI,FT,Scientist,1250000,INR,IN,100,IN,S,16904
2021,SE,FT,Engineer,4900000,INR,IN,0,IN,L,66265
2021,MI,FT,Scientist,21600,EUR,RS,100,DE,S,25532
2021,SE,FT,Engineer,160000,USD,PR,50,US,S,160000
2021,MI,FT,Engineer,93150,USD,US,0,US,M,93150
2021,MI,FT,Engineer,111775,USD,US,0,US,M,111775
2021,MI,FT,Engineer,250000,TRY,TR,100,TR,M,28016
2021,EN,FT,Engineer,55000,EUR,DE,50,DE,M,65013
2021,EN,FT,Engineer,72500,USD,US,100,US,L,72500
2021,SE,FT,Engineer,102000,BRL,BR,0,BR,M,18907
2021,EN,FT,Consultant,65000,EUR,DE,0,DE,L,76833
2021,EN,FT,Engineer,85000,USD,NL,100,DE,S,85000
2021,SE,FT,Scientist,65720,EUR,FR,50,FR,M,77684
2021,EN,FT,Scientist,100000,USD,US,100,US,M,100000
2021,EN,FT,Scientist,58000,USD,US,50,US,L,58000
2021,SE,FT,Scientist,55000,USD,ES,100,ES,L,55000
2021,SE,FT,Scientist,180000,TRY,TR,50,TR,L,20171
2021,EN,FT,Analyst,50000,EUR,LU,100,LU,L,59102
2021,MI,FT,Engineer,112000,USD,US,100,US,L,112000
2021,EN,FT,Scientist,100000,USD,JE,0,CN,L,100000
2021,MI,PT,Engineer,59000,EUR,NL,100,NL,L,69741
2021,SE,CT,Scientist,105000,USD,US,100,US,M,105000
2021,MI,FT,Scientist,69999,USD,CZ,50,CZ,L,69999
2021,SE,FT,Manager,7000000,INR,IN,50,IN,L,94665
2021,SE,FT,Data,87000,EUR,SI,100,SI,L,102839
2021,MI,FT,Scientist,109000,USD,US,50,US,L,109000
2021,MI,FT,Engineer,43200,EUR,IT,50,IT,L,51064
2022,SE,FT,Engineer,135000,USD,US,100,US,M,135000
2022,SE,FT,Analyst,155000,USD,US,100,US,M,155000
2022,SE,FT,Analyst,120600,USD,US,100,US,M,120600
2022,MI,FT,Scientist,130000,USD,US,0,US,M,130000
2022,MI,FT,Scientist,90000,USD,US,0,US,M,90000
2022,MI,FT,Engineer,170000,USD,US,100,US,M,170000
2022,MI,FT,Engineer,150000,USD,US,100,US,M,150000
2022,SE,FT,Analyst,102100,USD,US,100,US,M,102100
2022,SE,FT,Analyst,84900,USD,US,100,US,M,84900
2022,SE,FT,Scientist,136620,USD,US,100,US,M,136620
2022,SE,FT,Scientist,99360,USD,US,100,US,M,99360
2022,SE,FT,Scientist,90000,GBP,GB,0,GB,M,117789
2022,SE,FT,Scientist,80000,GBP,GB,0,GB,M,104702
2022,SE,FT,Scientist,146000,USD,US,100,US,M,146000
